Fixture,Expected,Observed,Result
StaticSecurity,PASS,PASS,PASS
VERSION_WINDOWS_LOCAL_PATH,SCHEMA_DISCOVERY_PASS,"VAREXP_01/03/04 record 2",PASS
SCHEMA_FIRST,SCHEMA_RECORD_1,"VAREXP_02/05",PASS
VERSION_PLUS_SCHEMA,SCHEMA_RECORD_2,"VAREXP_01/03/04",PASS
HIERARCHY_EMPTY_NULL,ACCOUNTED,"Null rows 1/2/3 by combination",PASS
HIERARCHY_DUPLICATE,DETECTED,"Duplicate rows reported",PASS
HIERARCHY_COMBINATION_UNIQUE,STRUCTURALLY_VALIDATED,"COL003_005_TAGNAME 100% eligible uniqueness",PASS
CREDENTIAL_VERSION,FAIL_CLOSED,SENSITIVE_VERSION_METADATA,PASS
CREDENTIAL_DATA,FAIL_CLOSED,SENSITIVE_DATA_CREDENTIAL,PASS
STANDALONE_KEY_VERSION,FAIL_CLOSED,SENSITIVE_VERSION_METADATA,PASS
FIELD_COUNT_261,REVIEW_REQUIRED,FIELD_COUNT_261,PASS
FIELD_COUNT_263,REVIEW_REQUIRED,FIELD_COUNT_263,PASS
RECORD_20_21,STOP_AT_20,"20 emitted; DATA_RECORD_LIMIT_REACHED",PASS
BYTE_256K,STOP_AT_262144,"0 emitted; DATA_BYTE_LIMIT_REACHED",PASS
GLOBAL_100_101,STOP_AT_100,"21+20+20+20+19=100",PASS
ZIP_SHA,PASS,PASS,PASS
