Path,SizeBytes,Type,Purpose,ProductionRisk,Reproducible,SYNTHETIC_SAFE_FOR_GIT,FinalClassification,Reason
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/byteBoundary/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9370,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/byteBoundary/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9462,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/byteBoundary/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9462,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/byteBoundary/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9395,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/byteBoundary/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,279463,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/credential/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9396,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/credential/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9463,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/credential/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9463,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/credential/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9396,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/credential/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,9465,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
