Path,SizeBytes,Classification,Reason
.codex-write-test.txt,25,DELETE_CANDIDATE,Workspace write probe
00_Governance/decisions/ADR-002_PCVUE_OPERATOR_CONFIGURATION_INTEGRITY_BOUNDARY.md,1644,TRACK_IN_GIT,Governed documentation/design
02. Project Backup/01. Weintek/a.emtp,3081158,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/a.exob,2032010,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/aa.PNG,3165,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/bb.PNG,3530,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory_C_UT.cxob,76597538,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-G01.cmtp,8129814,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-G01.cmtp.bak1,8129814,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-G01.cmtp.bak2,8128438,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-G01.cmtp.bak3,8128438,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-G01.cxob,46072333,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-UT.cmtp,1089382,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-UT.cmtp.bak1,1089382,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-UT.cmtp.bak2,1019286,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-UT.cmtp.bak3,1018150,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Factory-C-UT.cxob,45567936,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ach-sc.png,12722,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-body.png,8626,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-cc.png,9125,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-cv.png,5455,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-fan-run.gif,304363,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-fan-stop.png,15007,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-fan-trip.gif,14625,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-hc.png,9639,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-layout-fan-run.gif,2745,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
