Class,Tagname,n1(Factory),n2(System),n3(Name),n4(Signal),n5(Detail),n6(In1),n7(In2),n8,n9,n10,n11,n12,,Description,DescriptionAlt,Domain,Nature,Inhibited,Simulated,Saved,Source,Broadcast,StationOrAssociationNumber,,PermanentScan,,UseExtendedAttributes,,,,,ServerListName,ClientListName,,Eqt_NetworkName,Eqt_EqtName,Eqt_FrameName,Eqt_Type,Eqt_Index,Eqt_IndexComp,Eqt_SizeBit,Eqt_TextEncoding,,AssociatedLabels,Log0_1,Log1_0,,BitCommandLevel,AlarmLevel,AlarmActiveAt1,MaskDependency,AlarmTemporization,,ThresholdHysterisis,ThresholdValue,ThresholdHigh,ThresholdSource,ThresholdSystem,ThresholdTypeInSystem,,,,,Unit,DeadbandValue,MinimumValue,MaximumValue,ScaledValue,DeviceMinimumValue,DeviceMaximumValue,Format,VariableMinimumValue,VariableMaximumValue,ControlMinimumValue,ControlMaximumValue,RegisterCommandLevel,VariableControlMinimumValue,VariableControlMaximumValue,,,,,,Counter_StepSize,Counter_Type,Counter_CountBitName,Counter_CountBitTransition,Counter_ResetBitName,Counter_ResetBitTransition,,,,,Chrono_Period,Chrono_Type,Chrono_EnableBitName,Chrono_EnableBitTransition,Chrono_ResetBitName,Chrono_ResetBitTransition,,,,,TextSize,,TextCommandLevel,,,,,,,,LNS_NetworkAlias,LNS_NodeAlias,LNS_NvName,LNS_PollingPeriod,LNS_DefaultMonitoring,LNS_FieldName,,,,,DDE_Server,DDE_Item,,,DDE_Format,DDE_RangBit,DDE_AutoItemName,DDE_Label,,,ExtBinary,ExtText3,ExtText4,ExtText5,ExtText6,ExtText7,ExtText8,ExtText9,ExtText10,ExtText11,ExtText12,ExtText13,ExtText14,ExtText15,ExtText16,OPC_Server,OPC_Group,OPC_ItemId,OPC_AccessPath,OPC_IsArray,OPC_ArrayIndex,OPC_CustomizationExpression,,,,,DeadbandType,Recorder,MaskExpressionBranch,MaskExpressionTemplate,MessageAlarm,,,BACnet_NetworkName,BACnet_DeviceName,BACnet_ObjectType,BACnet_ObjectInstance,BACnet_Property,BACnet_Fields,BACnet_PollingPeriod,BACnet_MonitoringType,BACnet_Priority,BACnet_Type,,BrowsingLevel,AlarmAcknowledgmentLevel,AlarmMaskLevel,AlarmMaintenanceLevel,WithInitialValue,InitialValue,104_NetworkName,104_DeviceName,104_SectorName,104_IOA,104_Type,104_WriteIOA,104_SBO,104_QLorQU,104_WriteTimeTag,104_MappingBit,IEC61850_MappingType,IEC61850_Network,IEC61850_PhysicalDevice,IEC61850_DataGroup,IEC61850_DataGroupMember,IEC61850_DataGroupMemberField,,IEC61850_CommonDataClass,IEC61850_ControlModel,IEC61850_NotUseTimeStamp,IEC61850_NotUseQuality,,,,BACnet_EDEFileName,BACnet_EDEKeyname,104_Signed,,,,,,,,,,,,BACnet_VarType,BACnet_AlarmType,,,,,,,,,,,SNMP_NetworkName,SNMP_DeviceName,SNMP_ScanGroupName,SNMP_DataType,SNMP_OID,SNMP_DisableReading,SNMP_WithInitialValue,SNMP_InitialValue,SNMP_Offset,SNMP_ExtractionField,SNMP_RemoveNoPrintableCharacters,,,,,,104_ReadTimeTag,,,,,OPCUA_NetworkName,OPCUA_ClientName,OPCUA_MonitoringName,OPCUA_Identifier,OPCUA_IdentifierType,OPCUA_NamespaceIndex
VARIABLE,TAG_4_001,,,,,,,,,,,,,,Synthetic description 1,Alternate 1,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA
VARIABLE,TAG_4_002,,,,,,,,,,,,,,Synthetic description 2,"Quoted, description",UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_003,,,,,,,,,,,,,,Synthetic description 3,"Embedded ""quote"" description",UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_004,,,,,,,,,,,,,,Synthetic description 4,"Multiline
synthetic description",UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_005,,,,,,,,,,,,,,Synthetic description 5,Alternate 5,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_006,,,,,,,,,,,,,,Synthetic description 6,Alternate 6,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_007,,,,,,,,,,,,,,Synthetic description 7,Alternate 7,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_008,,,,,,,,,,,,,,Synthetic description 8,Alternate 8,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_009,,,,,,,,,,,,,,Synthetic description 9,Alternate 9,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,TAG_4_010,,,,,,,,,,,,,,Synthetic description 10,Alternate 10,UTILITY,ANALOG,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,1,,,,,,,,,,,,,,kW,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCLUDED_FIELD_SENTINEL_8D7C19,,,,,,,,,,,,RECORDER_A,,,Synthetic alarm message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAW_ROW_SENTINEL_6E4A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
