ColumnIndex,varexp_main.csv_OriginalHeader,plc_m_varexp.csv_OriginalHeader,G03_varexp.csv_OriginalHeader,BFU_varexp.csv_OriginalHeader,E02_varexp.csv_OriginalHeader,CaseSensitiveEqual,CaseInsensitiveEqual,NormalizedTextEqual,ParentheticalQualifierPresent,StablePosition,ConflictType,CandidateCanonicalName,CanonicalizationConfidence,AutomaticMergeAllowed,ManualReviewRequired
3,n1,n1(Factory),n1(Factory),n1(Factory),n1(Factory),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_003,LOW,FALSE,TRUE
4,n2,n2(System),n2(System),n2(System),n2(System),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_004,LOW,FALSE,TRUE
5,n3,n3(Name),n3(Name),n3(Name),n3(Name),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_005,LOW,FALSE,TRUE
6,n4,n4(Signal),n4(Signal),n4(Signal),n4(Signal),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_006,LOW,FALSE,TRUE
7,n5,n5(Detail),n5(Detail),n5(Detail),n5(Detail),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_007,LOW,FALSE,TRUE
8,n6,n6(In1),n6(In1),n6(In1),n6(In1),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_008,LOW,FALSE,TRUE
9,n7,n7(In2),n7(In2),n7(In2),n7(In2),FALSE,FALSE,FALSE,TRUE,TRUE,QUALIFIER_VARIANT,VAREXP_COL_009,LOW,FALSE,TRUE
57,ThresholdValue,Thresholdvalue,ThresholdValue,ThresholdValue,Thresholdvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,ThresholdValue,HIGH,TRUE,FALSE
67,DeadbandValue,Deadbandvalue,DeadbandValue,DeadbandValue,Deadbandvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,DeadbandValue,HIGH,TRUE,FALSE
68,MinimumValue,Minimumvalue,MinimumValue,MinimumValue,Minimumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,MinimumValue,HIGH,TRUE,FALSE
69,MaximumValue,Maximumvalue,MaximumValue,MaximumValue,Maximumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,MaximumValue,HIGH,TRUE,FALSE
70,ScaledValue,Scaledvalue,ScaledValue,ScaledValue,Scaledvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,ScaledValue,HIGH,TRUE,FALSE
71,DeviceMinimumValue,DeviceMinimumvalue,DeviceMinimumValue,DeviceMinimumValue,DeviceMinimumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,DeviceMinimumValue,HIGH,TRUE,FALSE
72,DeviceMaximumValue,DeviceMaximumvalue,DeviceMaximumValue,DeviceMaximumValue,DeviceMaximumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,DeviceMaximumValue,HIGH,TRUE,FALSE
74,VariableMinimumValue,VariableMinimumvalue,VariableMinimumValue,VariableMinimumValue,VariableMinimumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,VariableMinimumValue,HIGH,TRUE,FALSE
75,VariableMaximumValue,VariableMaximumvalue,VariableMaximumValue,VariableMaximumValue,VariableMaximumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,VariableMaximumValue,HIGH,TRUE,FALSE
76,ControlMinimumValue,ControlMinimumvalue,ControlMinimumValue,ControlMinimumValue,ControlMinimumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,ControlMinimumValue,HIGH,TRUE,FALSE
77,ControlMaximumValue,ControlMaximumvalue,ControlMaximumValue,ControlMaximumValue,ControlMaximumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,ControlMaximumValue,HIGH,TRUE,FALSE
79,VariableControlMinimumValue,VariableControlMinimumvalue,VariableControlMinimumValue,VariableControlMinimumValue,VariableControlMinimumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,VariableControlMinimumValue,HIGH,TRUE,FALSE
80,VariableControlMaximumValue,VariableControlMaximumvalue,VariableControlMaximumValue,VariableControlMaximumValue,VariableControlMaximumvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,VariableControlMaximumValue,HIGH,TRUE,FALSE
98,Chrono_EnableBitName,Chrono_enableBitName,Chrono_EnableBitName,Chrono_EnableBitName,Chrono_enableBitName,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,Chrono_EnableBitName,HIGH,TRUE,FALSE
99,Chrono_EnableBitTransition,Chrono_enableBitTransition,Chrono_EnableBitTransition,Chrono_EnableBitTransition,Chrono_enableBitTransition,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,Chrono_EnableBitTransition,HIGH,TRUE,FALSE
184,WithInitialValue,WithInitialvalue,WithInitialValue,WithInitialValue,WithInitialvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,WithInitialValue,HIGH,TRUE,FALSE
185,InitialValue,Initialvalue,InitialValue,InitialValue,Initialvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,InitialValue,HIGH,TRUE,FALSE
242,SNMP_WithInitialValue,SNMP_WithInitialvalue,SNMP_WithInitialValue,SNMP_WithInitialValue,SNMP_WithInitialvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,SNMP_WithInitialValue,HIGH,TRUE,FALSE
243,SNMP_InitialValue,SNMP_Initialvalue,SNMP_InitialValue,SNMP_InitialValue,SNMP_Initialvalue,FALSE,TRUE,TRUE,FALSE,TRUE,CASE_ONLY_VARIANT,SNMP_InitialValue,HIGH,TRUE,FALSE
