PositionalColumnId,Position,varexp_main.csv_OriginalHeader,varexp_main.csv_NormalizedHeader,plc_m_varexp.csv_OriginalHeader,plc_m_varexp.csv_NormalizedHeader,G03_varexp.csv_OriginalHeader,G03_varexp.csv_NormalizedHeader,BFU_varexp.csv_OriginalHeader,BFU_varexp.csv_NormalizedHeader,E02_varexp.csv_OriginalHeader,E02_varexp.csv_NormalizedHeader,VariantGroup,Status,CandidateCanonicalName,AutomaticMergeAllowed,ManualReviewRequired
VAREXP_COL_001,1,Class,CLASS,Class,CLASS,Class,CLASS,Class,CLASS,Class,CLASS,COMMON_EXACT_VAREXP_COL_001,KNOWN_COMMON_HEADER,Class,TRUE,FALSE
VAREXP_COL_002,2,Tagname,TAGNAME,Tagname,TAGNAME,Tagname,TAGNAME,Tagname,TAGNAME,Tagname,TAGNAME,COMMON_EXACT_VAREXP_COL_002,KNOWN_COMMON_HEADER,Tagname,TRUE,FALSE
VAREXP_COL_003,3,n1,N1,n1(Factory),N1(FACTORY),n1(Factory),N1(FACTORY),n1(Factory),N1(FACTORY),n1(Factory),N1(FACTORY),QUALIFIER_REVIEW_VAREXP_COL_003,QUALIFIER_VARIANT,VAREXP_COL_003,FALSE,TRUE
VAREXP_COL_004,4,n2,N2,n2(System),N2(SYSTEM),n2(System),N2(SYSTEM),n2(System),N2(SYSTEM),n2(System),N2(SYSTEM),QUALIFIER_REVIEW_VAREXP_COL_004,QUALIFIER_VARIANT,VAREXP_COL_004,FALSE,TRUE
VAREXP_COL_005,5,n3,N3,n3(Name),N3(NAME),n3(Name),N3(NAME),n3(Name),N3(NAME),n3(Name),N3(NAME),QUALIFIER_REVIEW_VAREXP_COL_005,QUALIFIER_VARIANT,VAREXP_COL_005,FALSE,TRUE
VAREXP_COL_006,6,n4,N4,n4(Signal),N4(SIGNAL),n4(Signal),N4(SIGNAL),n4(Signal),N4(SIGNAL),n4(Signal),N4(SIGNAL),QUALIFIER_REVIEW_VAREXP_COL_006,QUALIFIER_VARIANT,VAREXP_COL_006,FALSE,TRUE
VAREXP_COL_007,7,n5,N5,n5(Detail),N5(DETAIL),n5(Detail),N5(DETAIL),n5(Detail),N5(DETAIL),n5(Detail),N5(DETAIL),QUALIFIER_REVIEW_VAREXP_COL_007,QUALIFIER_VARIANT,VAREXP_COL_007,FALSE,TRUE
VAREXP_COL_008,8,n6,N6,n6(In1),N6(IN1),n6(In1),N6(IN1),n6(In1),N6(IN1),n6(In1),N6(IN1),QUALIFIER_REVIEW_VAREXP_COL_008,QUALIFIER_VARIANT,VAREXP_COL_008,FALSE,TRUE
VAREXP_COL_009,9,n7,N7,n7(In2),N7(IN2),n7(In2),N7(IN2),n7(In2),N7(IN2),n7(In2),N7(IN2),QUALIFIER_REVIEW_VAREXP_COL_009,QUALIFIER_VARIANT,VAREXP_COL_009,FALSE,TRUE
VAREXP_COL_010,10,n8,N8,n8,N8,n8,N8,n8,N8,n8,N8,COMMON_EXACT_VAREXP_COL_010,KNOWN_COMMON_HEADER,n8,TRUE,FALSE
VAREXP_COL_011,11,n9,N9,n9,N9,n9,N9,n9,N9,n9,N9,COMMON_EXACT_VAREXP_COL_011,KNOWN_COMMON_HEADER,n9,TRUE,FALSE
VAREXP_COL_012,12,n10,N10,n10,N10,n10,N10,n10,N10,n10,N10,COMMON_EXACT_VAREXP_COL_012,KNOWN_COMMON_HEADER,n10,TRUE,FALSE
VAREXP_COL_013,13,n11,N11,n11,N11,n11,N11,n11,N11,n11,N11,COMMON_EXACT_VAREXP_COL_013,KNOWN_COMMON_HEADER,n11,TRUE,FALSE
VAREXP_COL_014,14,n12,N12,n12,N12,n12,N12,n12,N12,n12,N12,COMMON_EXACT_VAREXP_COL_014,KNOWN_COMMON_HEADER,n12,TRUE,FALSE
VAREXP_COL_015,15,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_015,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_015,FALSE,TRUE
VAREXP_COL_016,16,Description,DESCRIPTION,Description,DESCRIPTION,Description,DESCRIPTION,Description,DESCRIPTION,Description,DESCRIPTION,COMMON_EXACT_VAREXP_COL_016,KNOWN_COMMON_HEADER,Description,TRUE,FALSE
VAREXP_COL_017,17,DescriptionAlt,DESCRIPTIONALT,DescriptionAlt,DESCRIPTIONALT,DescriptionAlt,DESCRIPTIONALT,DescriptionAlt,DESCRIPTIONALT,DescriptionAlt,DESCRIPTIONALT,COMMON_EXACT_VAREXP_COL_017,KNOWN_COMMON_HEADER,DescriptionAlt,TRUE,FALSE
VAREXP_COL_018,18,Domain,DOMAIN,Domain,DOMAIN,Domain,DOMAIN,Domain,DOMAIN,Domain,DOMAIN,COMMON_EXACT_VAREXP_COL_018,KNOWN_COMMON_HEADER,Domain,TRUE,FALSE
VAREXP_COL_019,19,Nature,NATURE,Nature,NATURE,Nature,NATURE,Nature,NATURE,Nature,NATURE,COMMON_EXACT_VAREXP_COL_019,KNOWN_COMMON_HEADER,Nature,TRUE,FALSE
VAREXP_COL_020,20,Inhibited,INHIBITED,Inhibited,INHIBITED,Inhibited,INHIBITED,Inhibited,INHIBITED,Inhibited,INHIBITED,COMMON_EXACT_VAREXP_COL_020,KNOWN_COMMON_HEADER,Inhibited,TRUE,FALSE
