ColumnIndex,EmptyInVarexpMain,EmptyInPlcM,EmptyInG03,EmptyInBFU,EmptyInE02,AllFiveEmpty,Classification
15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
82,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
84,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
92,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
94,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
95,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
104,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
107,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
109,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
112,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
113,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
122,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
128,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
134,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
158,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
159,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
161,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
168,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
179,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
202,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
207,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ReservedCandidate
