PositionalColumnId,Position,CandidateCanonicalName,SchemaVariantStatus,AcquisitionClassification,ClassificationReason,VariantGroup,varexp_main.csv_OriginalHeader,plc_m_varexp.csv_OriginalHeader,G03_varexp.csv_OriginalHeader,BFU_varexp.csv_OriginalHeader,E02_varexp.csv_OriginalHeader
VAREXP_COL_001,1,Class,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_001,Class,Class,Class,Class,Class
VAREXP_COL_002,2,Tagname,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_002,Tagname,Tagname,Tagname,Tagname,Tagname
VAREXP_COL_003,3,VAREXP_COL_003,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_003,n1,n1(Factory),n1(Factory),n1(Factory),n1(Factory)
VAREXP_COL_004,4,VAREXP_COL_004,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_004,n2,n2(System),n2(System),n2(System),n2(System)
VAREXP_COL_005,5,VAREXP_COL_005,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_005,n3,n3(Name),n3(Name),n3(Name),n3(Name)
VAREXP_COL_006,6,VAREXP_COL_006,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_006,n4,n4(Signal),n4(Signal),n4(Signal),n4(Signal)
VAREXP_COL_007,7,VAREXP_COL_007,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_007,n5,n5(Detail),n5(Detail),n5(Detail),n5(Detail)
VAREXP_COL_008,8,VAREXP_COL_008,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_008,n6,n6(In1),n6(In1),n6(In1),n6(In1)
VAREXP_COL_009,9,VAREXP_COL_009,QUALIFIER_VARIANT,EXCLUDED_SCHEMA_UNCERTAIN,Qualifier meaning not approved for automatic use,QUALIFIER_REVIEW_VAREXP_COL_009,n7,n7(In2),n7(In2),n7(In2),n7(In2)
VAREXP_COL_010,10,n8,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_010,n8,n8,n8,n8,n8
VAREXP_COL_011,11,n9,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_011,n9,n9,n9,n9,n9
VAREXP_COL_012,12,n10,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_012,n10,n10,n10,n10,n10
VAREXP_COL_013,13,n11,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_013,n11,n11,n11,n11,n11
VAREXP_COL_014,14,n12,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_014,n12,n12,n12,n12,n12
VAREXP_COL_015,15,VAREXP_COL_015,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_015,,,,,
VAREXP_COL_016,16,Description,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_016,Description,Description,Description,Description,Description
VAREXP_COL_017,17,DescriptionAlt,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_017,DescriptionAlt,DescriptionAlt,DescriptionAlt,DescriptionAlt,DescriptionAlt
VAREXP_COL_018,18,Domain,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_018,Domain,Domain,Domain,Domain,Domain
VAREXP_COL_019,19,Nature,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_019,Nature,Nature,Nature,Nature,Nature
VAREXP_COL_020,20,Inhibited,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_020,Inhibited,Inhibited,Inhibited,Inhibited,Inhibited
VAREXP_COL_021,21,Simulated,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_021,Simulated,Simulated,Simulated,Simulated,Simulated
VAREXP_COL_022,22,Saved,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_022,Saved,Saved,Saved,Saved,Saved
VAREXP_COL_023,23,Source,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_023,Source,Source,Source,Source,Source
VAREXP_COL_024,24,Broadcast,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_024,Broadcast,Broadcast,Broadcast,Broadcast,Broadcast
VAREXP_COL_025,25,StationOrAssociationNumber,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_025,StationOrAssociationNumber,StationOrAssociationNumber,StationOrAssociationNumber,StationOrAssociationNumber,StationOrAssociationNumber
VAREXP_COL_026,26,VAREXP_COL_026,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_026,,,,,
VAREXP_COL_027,27,PermanentScan,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_027,PermanentScan,PermanentScan,PermanentScan,PermanentScan,PermanentScan
VAREXP_COL_028,28,VAREXP_COL_028,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_028,,,,,
VAREXP_COL_029,29,UseExtendedAttributes,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_029,UseExtendedAttributes,UseExtendedAttributes,UseExtendedAttributes,UseExtendedAttributes,UseExtendedAttributes
VAREXP_COL_030,30,VAREXP_COL_030,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_030,,,,,
VAREXP_COL_031,31,VAREXP_COL_031,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_031,,,,,
