PositionalColumnId,Position,CandidateHeader,UtilityAIRole,AcquisitionDecision,PilotAction,ProvenanceRequirement,Reason
VAREXP_COL_001,1,Class,TAG_IDENTIFIER,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_002,2,Tagname,TAG_IDENTIFIER,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_003,3,VAREXP_COL_003,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_004,4,VAREXP_COL_004,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_005,5,VAREXP_COL_005,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_006,6,VAREXP_COL_006,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_007,7,VAREXP_COL_007,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_008,8,VAREXP_COL_008,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_009,9,VAREXP_COL_009,EQUIPMENT_HIERARCHY,EXCLUDED_SCHEMA_UNCERTAIN,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Qualifier meaning not approved for automatic use
VAREXP_COL_010,10,n8,EQUIPMENT_HIERARCHY,METADATA_ONLY,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Retain only as schema/provenance metadata; not an initial Utility AI value field
VAREXP_COL_011,11,n9,EQUIPMENT_HIERARCHY,METADATA_ONLY,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Retain only as schema/provenance metadata; not an initial Utility AI value field
VAREXP_COL_012,12,n10,EQUIPMENT_HIERARCHY,METADATA_ONLY,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Retain only as schema/provenance metadata; not an initial Utility AI value field
VAREXP_COL_013,13,n11,EQUIPMENT_HIERARCHY,METADATA_ONLY,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Retain only as schema/provenance metadata; not an initial Utility AI value field
VAREXP_COL_014,14,n12,EQUIPMENT_HIERARCHY,METADATA_ONLY,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Retain only as schema/provenance metadata; not an initial Utility AI value field
VAREXP_COL_016,16,Description,DESCRIPTION,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_017,17,DescriptionAlt,DESCRIPTION,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_018,18,Domain,CLASS_NATURE_DATA_TYPE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_019,19,Nature,CLASS_NATURE_DATA_TYPE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_020,20,Inhibited,QUALITY_OR_STATE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_021,21,Simulated,QUALITY_OR_STATE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_022,22,Saved,QUALITY_OR_STATE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_023,23,Source,SOURCE,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_027,27,PermanentScan,QUALITY_OR_STATE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_037,37,Eqt_NetworkName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_038,38,Eqt_EqtName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_039,39,Eqt_FrameName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_040,40,Eqt_Type,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_041,41,Eqt_Index,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_042,42,Eqt_IndexComp,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_043,43,Eqt_SizeBit,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_044,44,Eqt_TextEncoding,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_047,47,Log0_1,HISTORIAN,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_048,48,Log1_0,HISTORIAN,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_051,51,AlarmLevel,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_052,52,AlarmActiveAt1,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_053,53,MaskDependency,ALARM,NOT_REQUIRED_FOR_UTILITY_AI,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,Known field not required for initial Utility AI Pilot
VAREXP_COL_054,54,AlarmTemporization,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_056,56,ThresholdHysterisis,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_057,57,ThresholdValue,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_058,58,ThresholdHigh,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_059,59,ThresholdSource,ALARM,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_060,60,ThresholdSystem,ALARM,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_061,61,ThresholdTypeInSystem,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_066,66,Unit,ENGINEERING_UNIT,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_067,67,DeadbandValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_068,68,MinimumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_069,69,MaximumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_070,70,ScaledValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_071,71,DeviceMinimumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_072,72,DeviceMaximumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_073,73,Format,CLASS_NATURE_DATA_TYPE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_074,74,VariableMinimumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_075,75,VariableMaximumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_076,76,ControlMinimumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_077,77,ControlMaximumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_079,79,VariableControlMinimumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_080,80,VariableControlMaximumValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_106,106,TextSize,CLASS_NATURE_DATA_TYPE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_151,151,OPC_Server,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_152,152,OPC_Group,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
